symbol	log2FC	qvalue	group
Wdr76	0.1268	0.8704	None
Crim1	0.2025	0.6079	None
Gnl1	-0.4564	0.1524	None
Zfp830	-0.0824	0.8528	None
Cdk18	-0.5131	0.0921	None
Atxn7l1	0.2368	0.6251	None
Dtl	0.9588	0.4768	None
Ctu2	0.3614	0.4912	None
Glod4	-0.0666	0.8809	None
Zfp580	0.6493	0.483	None
Rpl7l1	-0.339	0.1407	None
Rgs11	2.4733	0.3728	None
Vcam1	1.414	7.5933e-08	Up
Evi2	1.4696	0	Up
Tubb3	5.6269	0.0011	Up
Tnfrsf21	0.9888	0.0013	None
Prr5l	0.4151	0.6585	None
H2-Eb1	1.3865	0.0001	Up
Gm10052	0.0165	0.9721	None
Sema4a	0.0826	0.7673	None
Mfsd14b	-0.0024	0.9948	None
Gm13872	-1.3566	0.3493	None
Tbc1d10b	0.3773	0.1916	None
Fkbp11	1.0256	0.2502	None
Exoc7	-0.3497	0.3954	None
Fuca1	0.0714	0.8313	None
Tc2n	2.3311	1.7177e-09	Up
Tmem258	-0.0374	0.9763	None
Tmem117	0.4215	0.8982	None
Zbtb1	-0.0555	0.8917	None
Kazn	0.46	0.5498	None
Nr2c2ap	0.6319	0.0257	None
Rhebl1	-0.211	0.9124	None
Ints7	-0.0577	0.8864	None
Cpd	0.6518	0.0044	None
Lgals3bp	0.7981	0.0004	None
Wfikkn1	0.2686	0.7979	None
Dnajc14	-0.1606	0.5998	None
Timmdc1	-0.3708	0.1953	None
Rsrp1	-1.0985	0.0001	Down
Gm9079	1.8138	0.3181	None
Cdc27	0.2386	0.41	None
Nadk2	-0.6711	0	None
Nrtn	-2.4399	0.0569	None
Micall2	2.1422	0	Up
Spin1	-0.0379	0.8995	None
Nmral1	-0.203	0.8147	None
Tnfsf13	0.1665	0.8573	None
Cd300e	0.2109	0.8458	None
Taf6	0.004	0.9932	None
Zfp598	-0.3057	0.163	None
Gmeb2	0.0537	0.8973	None
Cabcoco1	-0.9517	0.6737	None
Elac2	-0.1342	0.7749	None
Thada	-0.0172	0.9811	None
Fbxo46	-0.3479	0.537	None
Hrk	-5.0385	0.0552	None
Arc	1.9147	0.4275	None
Nop9	-0.4203	0.0123	None
Rpap2	0.4066	0.4221	None
Akr1c13	-1.1776	0.0177	Down
Slc52a2	-0.1749	0.7397	None
Epc1	-0.2757	0.449	None
Lrrc7	-0.4133	0.6853	None
Thap3	0.0648	0.9153	None
Alb	-0.7526	0	None
Gm10684	0.3469	0.8507	None
Glb1l	-0.399	0.3731	None
2900005J15Rik	-0.295	0.6651	None
Dmrt2	1.2128	0.5375	None
Ybey	-0.6929	0.1312	None
Adam1a	-1.0644	0.2257	None
Unc13a	0.8273	0.5121	None
Gucy2g	3.845	0.0831	None
Cdh6	0.3468	0.8808	None
Papln	0.4038	0.6757	None
Rsl1	0.2505	0.7002	None
2700012I20Rik	-0.2955	0.9114	None
Asic3	-3.282	0.056	None
Cnp	1.0711	2.2476e-06	Up
2810414N06Rik	-0.4826	0.4478	None
Ggnbp2	-0.2842	0.2713	None
Zbed5	-0.4497	0.1516	None
Mug2	0.6349	0.0921	None
Mmp17	1.1647	0.2685	None
Ncln	0.1344	0.6021	None
Dguok	-0.3258	0.6653	None
LOC115487084	-0.689	0.6744	None
Aoc3	-0.3086	0.903	None
Cdipt	0.1937	0.4401	None
Agpat3	0.0522	0.878	None
Colec11	0.0139	0.9687	None
Smarca5	-0.0145	0.9767	None
Smc6	-0.0226	0.9653	None
Mitd1	-0.0993	0.8953	None
Dop1a	0.1238	0.7456	None
Trpm4	1.2139	0.2361	None
Sco1	0.0108	0.9824	None
Sephs1	-0.3876	0.0717	None
Caprin2	-0.8049	0.2737	None
Dennd1c	-0.1848	0.7332	None
Septin10	0.4969	0.1231	None
Cct8	-0.1855	0.6094	None
Tshz3	1.1677	0.0377	Up
Rnase10	-0.341	0.9324	None
Farp1	0.2312	0.5045	None
Zfp983	-0.3137	0.4899	None
Eef1akmt4-ece2	0.2931	0.7972	None
Kctd5	0.0982	0.8808	None
Pcmtd2	-0.6335	0.0098	None
A330035P11Rik	-1.3952	0.0375	Down
Cyp4a32	-1.8521	1.7248e-06	Down
Npm1	-0.4564	0.1248	None
Tmem71	4.0124	5.2577e-17	Up
Cmtm7	1.2034	0.0196	Up
Tmem150a	0.3291	0.0925	None
4932702P03Rik	-0.1858	0.6661	None
Tm2d3	-0.4653	0.4309	None
Pcbd1	-0.6868	0.0001	None
Gm9958	-0.2793	0.8523	None
Nsf	0.3718	0.2129	None
Pias2	-0.482	0.0434	None
Ccl25	-0.7811	0.4012	None
Coq9	-0.0197	0.9535	None
Mettl21a	-0.2961	0.5278	None
Mgme1	-0.7829	0.0364	None
Mindy4	-0.6245	0.5106	None
Capn10	-0.1502	0.7016	None
Tasor2	0.0009	0.9986	None
Npnt	2.0028	0.0189	Up
Sptbn1	0.5096	0.0088	None
Slc8a1	2.2044	7.6727e-11	Up
B4galnt4	-0.5915	0.847	None
Gm5124	-0.1972	0.7757	None
Nrg4	-1.3197	0.0008	Down
H2-Q6	-0.6156	0.0309	None
Men1	-0.1457	0.6926	None
Parp6	-0.9508	0.1153	None
4930556M19Rik	-0.0725	0.9195	None
